総合順位,用語名,読み方,ランク,impact,category,小学生でもわかる解説,aliases
1,AIエージェント,エーアイエージェント,S,100,agent_ai,人の代わりに考え、調べ、操作までして仕事を進める自律型AI。,ai agent|agentic ai
2,生成AI,セイセイエーアイ,S,99,agent_ai,文章や画像など新しいものを自分で作り出せるAI。,generative ai|gen ai
3,プロンプト,プロンプト,S,98,agent_ai,AIにやってほしいことを伝える指示文。,prompt
4,プロンプトエンジニアリング,プロンプトエンジニアリング,S,98,agent_ai,AIからよい答えを引き出すために指示を工夫すること。,prompt engineering
5,LLM,エルエルエム,S,97,agent_ai,たくさんの文章を学び、人のように言葉を扱うAIの頭脳。,large language model|大規模言語モデル
6,RAG,ラグ,S,97,agent_ai,外の資料を探してから答えることで、AIのウソを減らす仕組み。,retrieval augmented generation
7,ハルシネーション,ハルシネーション,S,96,agent_ai,AIが本当ではないことを自信ありげに答えてしまうこと。,hallucination
8,API,エーピーアイ,S,96,it_dev,アプリどうしが情報をやり取りするためのつなぎ口。,api|application programming interface
9,ワークフロー,ワークフロー,S,95,agent_ai,作業をどの順番で進めるかを決めた流れ。,workflow
10,自動化,ジドウカ,S,95,agent_ai,人が手でやっていた作業を、AIや仕組みで自動にすること。,automation
11,メモリ,メモリ,S,94,agent_ai,AIが会話や設定を覚えて次に活かすための記憶。,memory
12,Function Calling,ファンクションコーリング,S,94,agent_ai,AIが外部ツールや処理を呼び出して使う仕組み。,tool calling|function calling
13,ツール呼び出し,ツールヨビダシ,S,94,agent_ai,AIが外部の道具を使って調査や実行を進めること。,tool use
14,マルチモーダルAI,マルチモーダルエーアイ,S,93,agent_ai,文字だけでなく画像や音声もまとめて理解できるAI。,multimodal ai
15,コンテキストウィンドウ,コンテキストウィンドウ,S,93,agent_ai,AIが一度に覚えて見ながら考えられる情報量。,context window
16,トークン,トークン,S,92,agent_ai,AIが文章を数えるときの細かい単位。,token
17,ベクトルデータベース,ベクトルデータベース,S,92,ai_data,似ている情報を探しやすい形で保存する特別なデータベース。,vector database
18,Embedding,エンベディング,S,92,ai_data,言葉や画像の意味を数字に変えて、近さを比べやすくしたもの。,embedding|埋め込み
19,埋め込み,ウメコミ,S,92,ai_data,言葉の意味を数字の並びに変えること。,embedding
20,エージェント型AI,エージェントガタエーアイ,S,91,agent_ai,自分で考えながら複数の手順をこなすAI。,agentic ai|AIエージェント
21,SaaS,サース,S,91,it_dev,ネット経由で使うソフトサービス。,saas|software as a service
22,ノーコード,ノーコード,S,90,it_dev,プログラムを書かずに画面操作中心でアプリを作る方法。,no code
23,ローコード,ローコード,S,90,it_dev,少しだけコードを書いて効率よくアプリを作る方法。,low code
24,Dify,ディファイ,S,90,agent_ai,コードをあまり書かずにAIアプリやフローを作れるツール。,dify
25,MCP,エムシーピー,S,90,agent_ai,AIが外部ツールやデータにつながるための共通の接続方式。,model context protocol
26,推論,スイロン,S,89,agent_ai,AIが材料をもとに考えて答えを出すこと。,inference
27,推論コスト,スイロンコスト,A,89,agent_ai,AIが考えるたびにかかる時間やお金の負担。,inference cost
28,システムプロンプト,システムプロンプト,A,89,agent_ai,AIの基本ルールや役割を最初に決める指示。,system prompt
29,ユーザープロンプト,ユーザープロンプト,A,88,agent_ai,利用者がその場でAIに送るお願いや質問。,user prompt
30,チェーン・オブ・ソート,チェーンオブソート,A,88,agent_ai,考える手順を段階的に整理して答えさせる考え方。,chain of thought
31,ReAct,リアクト,A,88,agent_ai,考えることと行動することを交互に進めるAIのやり方。,react prompting
32,プランニング,プランニング,A,88,agent_ai,何をどう進めるか、先に段取りを考えること。,planning
33,サブタスク,サブタスク,A,87,agent_ai,大きな仕事を小さく分けた一つ一つの作業。,subtask
34,評価器,ヒョウカキ,A,87,agent_ai,AIの答えがよいかどうかを点検する役。,evaluator
35,ガードレール,ガードレール,A,87,agent_ai,AIが危ないことをしないように設ける安全ルール。,guardrail
36,プロンプトテンプレート,プロンプトテンプレート,A,87,agent_ai,よく使う指示を再利用しやすくしたひな形。,prompt template
37,Few-shot,フューショット,A,86,agent_ai,少しだけお手本を見せてAIに答え方を学ばせる方法。,few shot
38,Zero-shot,ゼロショット,A,86,agent_ai,お手本なしでいきなりAIに答えさせる方法。,zero shot
39,Fine-tuning,ファインチューニング,A,86,agent_ai,既に賢いAIを、目的に合わせて追加学習で調整すること。,fine tuning
40,蒸留,ジョウリュウ,A,86,agent_ai,大きいAIの知識を小さいAIにうまく受け渡すこと。,distillation
41,知識カットオフ,チシキカットオフ,A,85,agent_ai,AIが学習している情報の最終時点。,knowledge cutoff
42,温度,オンド,A,85,agent_ai,AIの答えをどれくらい自由で多様にするかの設定。,temperature
43,Top-p,トップピー,A,85,agent_ai,AIが候補をどこまで広く使って答えるかを決める設定。,top p
44,最大出力トークン,サイダイシュツリョクトークン,A,84,agent_ai,AIが一回で出せる返答の長さの上限。,max tokens
45,ストリーミング,ストリーミング,A,84,agent_ai,AIの答えを少しずつ表示して待ち時間を減らすこと。,streaming
